Date,m_t,IBM,CSCO,AAPL,MSFT,ORCL,INTC,TXN,QCOM,AMAT,ADBE
2009-02-26,832.3087,1.8060606,-0.7271099,-0.6773861,-1.6326871,-1.0149474,-0.89501953,-1.7787495,-0.30393413,1.232773,-1.7766975
2009-02-27,568.94946,1.871972,0.19885644,-0.008091826,-0.96175647,-0.5900437,0.08259391,-0.8050657,-0.30635968,-2.3083768,0.038060013
2009-03-02,533.61145,-1.8092984,-0.71358496,-0.4919222,-1.3070042,-0.8646483,-1.3262402,-1.651227,-0.7706951,-1.4276046,-1.4414887
2009-03-03,997.7345,-0.65909123,0.17657313,0.11525243,0.23293187,-0.42194065,-0.058728006,1.0641234,0.6134533,-0.047254592,-0.07870958
2009-03-04,803.3391,1.019203,2.1740985,0.82566804,0.7119443,-0.11411389,1.4196573,1.6207968,1.2204223,1.5338641,0.7432998
2009-03-05,431.4609,-1.2971146,-1.9941881,-0.97079235,-3.1823368,-1.188511,-1.4155414,0.111770116,-0.1945579,-1.067856,1.4087716
2009-03-06,656.4318,-1.0017012,-1.009466,-1.081192,-0.0118288975,-0.15149318,0.30369982,-0.5129788,-1.072256,-1.3218509,0.5340101
2009-03-09,509.67987,-1.5248936,-1.6506529,-0.829747,-0.5332196,-1.7294923,0.4200718,-0.07882295,-0.7653785,-0.53400654,-0.7903445
2009-03-10,438.67972,2.5497859,2.9926293,2.172599,4.786848,3.4847732,4.0149913,2.5733697,2.5786576,2.5234256,3.7752883
2009-03-11,625.56506,0.8593717,0.97957116,1.11374,1.9690653,0.62546605,0.105429724,0.09789164,-0.06411177,1.3045113,0.24881062
2009-03-12,909.46246,1.0209209,1.1883135,1.186326,-0.30966768,0.6585586,1.4366708,0.49830246,1.2695963,1.6542612,1.3951688
2009-03-13,350.01245,-0.019262426,-0.027623681,-0.2520638,-1.3283747,-0.19040887,0.46431324,0.67773545,-0.124883294,1.556956,-1.4986725
2009-03-16,426.5987,0.5580205,-0.18738636,-0.2492034,-1.4623092,-1.7698184,-1.2293179,-1.303512,-1.0408726,-0.59779924,-0.43350667
2009-03-17,412.88635,1.075406,1.8243372,1.5325817,2.2206097,1.3548609,1.7246451,1.8614087,1.4881268,0.87278914,1.4206729
2009-03-18,275.49692,-0.6307041,0.98178494,0.7840017,0.15514368,1.1908284,0.87537724,1.0825809,0.61823887,0.4792719,4.4291406
2009-03-19,458.22952,0.45177954,-0.7058663,-0.022560848,0.5478108,3.744224,-0.2448889,-0.70040846,-0.3813278,-0.5447558,-0.15659648
